date,GISTemp,HadCRUT4,NCDC,Berkeley,Cowtan and Way
1850,,-0.7,,-0.779,-0.788
1850.08,,-0.286,,-0.131,-0.191
1850.17,,-0.732,,-0.401,-0.441
1850.25,,-0.563,,-0.689,-0.568
1850.33,,-0.327,,-0.791,-0.515
1850.42,,-0.213,,-0.471,-0.288
1850.5,,-0.125,,-0.325,-0.047
1850.58,,-0.237,,-0.292,-0.012
1850.67,,-0.439,,-0.563,-0.303
1850.75,,-0.451,,-0.703,-0.634
1850.83,,-0.187,,-0.592,-0.473
1850.92,,-0.257,,-0.439,-0.423
1851,,-0.296,,-0.264,-0.168
1851.08,,-0.356,,-0.436,-0.428
1851.17,,-0.479,,-0.688,-0.728
1851.25,,-0.441,,-0.776,-0.693
1851.33,,-0.295,,-0.39,-0.197
1851.42,,-0.197,,-0.333,-0.075
1851.5,,-0.212,,-0.249,-0.056
1851.58,,-0.157,,-0.313,-0.068
1851.67,,-0.101,,-0.398,-0.065
1851.75,,-0.057,,-0.169,-0.059
1851.83,,-0.02,,-0.395,-0.115
1851.92,,-0.051,,-0.102,-0.059
1852,,-0.315,,-0.163,-0.493
1852.08,,-0.477,,-0.585,-0.49
1852.17,,-0.502,,-0.829,-0.674
1852.25,,-0.557,,-0.593,-0.701
1852.33,,-0.211,,-0.24,-0.112
1852.42,,-0.04,,-0.222,0.002
1852.5,,-0.018,,-0.117,0.035
1852.58,,-0.202,,-0.422,-0.198
1852.67,,-0.125,,-0.429,-0.102
1852.75,,-0.216,,-0.224,-0.166
1852.83,,-0.193,,-0.659,-0.404
1852.92,,0.073,,0.016,0.17
1853,,-0.182,,-0.366,-0.27
1853.08,,-0.327,,-0.702,-0.386
1853.17,,-0.309,,-0.473,-0.484
1853.25,,-0.355,,-0.522,-0.448
1853.33,,-0.268,,-0.365,-0.247
1853.42,,-0.175,,-0.273,-0.181
1853.5,,-0.059,,-0.095,0.08
1853.58,,-0.148,,-0.169,-0.042
1853.67,,-0.404,,-0.464,-0.345
1853.75,,-0.362,,-0.543,-0.462
1853.83,,-0.255,,-0.649,-0.61
1853.92,,-0.437,,-0.298,-0.465
1854,,-0.365,,-0.549,-0.504
1854.08,,-0.282,,-0.6,-0.462
1854.17,,-0.286,,-0.312,-0.242
